Date;Close
31/08/2020;2.860
07/09/2020;2.810
14/09/2020;2.890
21/09/2020;2.690
28/09/2020;2.680
05/10/2020;2.730
12/10/2020;2.750
19/10/2020;2.630
26/10/2020;2.620
02/11/2020;2.830
09/11/2020;2.990
16/11/2020;3.220
23/11/2020;3.460
30/11/2020;3.250
07/12/2020;3.280
14/12/2020;3.510
21/12/2020;3.320
28/12/2020;3.310
04/01/2021;3.570
11/01/2021;3.480
18/01/2021;3.390
25/01/2021;3.110
01/02/2021;3.290
08/02/2021;3.190
15/02/2021;3.210
22/02/2021;3.490
01/03/2021;3.320
08/03/2021;3.450
15/03/2021;3.440
22/03/2021;3.490
29/03/2021;3.390
05/04/2021;3.360
12/04/2021;3.360
19/04/2021;3.310
26/04/2021;3.200
03/05/2021;3.190
10/05/2021;3.180
17/05/2021;3.270
24/05/2021;3.270
31/05/2021;3.500
07/06/2021;3.470
14/06/2021;3.350
21/06/2021;3.250
28/06/2021;3.070
05/07/2021;3.160
12/07/2021;3.170
19/07/2021;3.170
26/07/2021;3.240
02/08/2021;3.320
09/08/2021;3.300
16/08/2021;3.400
23/08/2021;3.320
30/08/2021;3.390
06/09/2021;3.330
13/09/2021;3.530
20/09/2021;3.560
27/09/2021;3.660
04/10/2021;3.800
11/10/2021;3.810
18/10/2021;3.870
25/10/2021;3.800
01/11/2021;3.770
08/11/2021;3.600
15/11/2021;3.900
22/11/2021;4.010
29/11/2021;4.070
06/12/2021;4.150
13/12/2021;4.100
20/12/2021;4.110
27/12/2021;4.040
03/01/2022;4.170
10/01/2022;4.190
17/01/2022;4.330
24/01/2022;4.260
31/01/2022;4.230
07/02/2022;4.450
14/02/2022;4.400
21/02/2022;4.340
28/02/2022;4.400
07/03/2022;4.590
14/03/2022;4.540
21/03/2022;4.520
28/03/2022;4.580
04/04/2022;4.580
11/04/2022;4.680
18/04/2022;4.620
25/04/2022;4.620
02/05/2022;4.620
09/05/2022;4.260
16/05/2022;4.170
23/05/2022;4.300
30/05/2022;4.310
06/06/2022;4.020
13/06/2022;4.120
20/06/2022;4.150
27/06/2022;4.020
04/07/2022;4.010
11/07/2022;4.150
18/07/2022;4.230
25/07/2022;4.230
01/08/2022;4.650
08/08/2022;4.550
15/08/2022;4.600
22/08/2022;4.490
29/08/2022;4.600
05/09/2022;4.600
12/09/2022;4.410
19/09/2022;4.380
26/09/2022;4.460
03/10/2022;4.350
10/10/2022;4.290
17/10/2022;4.360
24/10/2022;4.450
31/10/2022;4.210
07/11/2022;4.150
14/11/2022;4.010
21/11/2022;4.030
28/11/2022;4.000
05/12/2022;3.650
12/12/2022;3.680
19/12/2022;3.780
26/12/2022;3.750
02/01/2023;3.710
09/01/2023;3.780
16/01/2023;3.870
23/01/2023;3.960
30/01/2023;3.880
06/02/2023;3.800
13/02/2023;3.760
20/02/2023;4.040
27/02/2023;3.900
06/03/2023;4.010
13/03/2023;4.050
20/03/2023;4.070
27/03/2023;4.060
03/04/2023;4.250
10/04/2023;4.340
17/04/2023;4.270
24/04/2023;4.250
01/05/2023;4.170
08/05/2023;3.980
15/05/2023;4.020
22/05/2023;4.130
29/05/2023;4.040
05/06/2023;4.150
12/06/2023;3.970
19/06/2023;3.950
26/06/2023;4.000
03/07/2023;3.960
10/07/2023;3.930
17/07/2023;3.860
24/07/2023;3.720
31/07/2023;3.690
07/08/2023;3.810
14/08/2023;3.760
21/08/2023;3.720
28/08/2023;3.720
01/09/2023;3.720
