Date;Close
31/08/2020;2860
07/09/2020;2810
14/09/2020;2890
21/09/2020;2690
28/09/2020;2680
05/10/2020;2730
12/10/2020;2750
19/10/2020;2630
26/10/2020;2620
02/11/2020;2830
09/11/2020;2990
16/11/2020;3220
23/11/2020;3460
30/11/2020;3250
07/12/2020;3280
14/12/2020;3510
21/12/2020;3320
28/12/2020;3310
04/01/2021;3570
11/01/2021;3480
18/01/2021;3390
25/01/2021;3110
01/02/2021;3290
08/02/2021;3190
15/02/2021;3210
22/02/2021;3490
01/03/2021;3320
08/03/2021;3450
15/03/2021;3440
22/03/2021;3490
29/03/2021;3390
05/04/2021;3360
12/04/2021;3360
19/04/2021;3310
26/04/2021;3200
03/05/2021;3190
10/05/2021;3180
17/05/2021;3270
24/05/2021;3270
31/05/2021;3500
07/06/2021;3470
14/06/2021;3350
21/06/2021;3250
28/06/2021;3070
05/07/2021;3160
12/07/2021;3170
19/07/2021;3170
26/07/2021;3240
02/08/2021;3320
09/08/2021;3300
16/08/2021;3400
23/08/2021;3320
30/08/2021;3390
06/09/2021;3330
13/09/2021;3530
20/09/2021;3560
27/09/2021;3660
04/10/2021;3800
11/10/2021;3810
18/10/2021;3870
25/10/2021;3800
01/11/2021;3770
08/11/2021;3600
15/11/2021;3900
22/11/2021;4010
29/11/2021;4070
06/12/2021;4150
13/12/2021;4100
20/12/2021;4110
27/12/2021;4040
03/01/2022;4170
10/01/2022;4190
17/01/2022;4330
24/01/2022;4260
31/01/2022;4230
07/02/2022;4450
14/02/2022;4400
21/02/2022;4340
28/02/2022;4400
07/03/2022;4590
14/03/2022;4540
21/03/2022;4520
28/03/2022;4580
04/04/2022;4580
11/04/2022;4680
18/04/2022;4620
25/04/2022;4620
02/05/2022;4620
09/05/2022;4260
16/05/2022;4170
23/05/2022;4300
30/05/2022;4310
06/06/2022;4020
13/06/2022;4120
20/06/2022;4150
27/06/2022;4020
04/07/2022;4010
11/07/2022;4150
18/07/2022;4230
25/07/2022;4230
01/08/2022;4650
08/08/2022;4550
15/08/2022;4600
22/08/2022;4490
29/08/2022;4600
05/09/2022;4600
12/09/2022;4410
19/09/2022;4380
26/09/2022;4460
03/10/2022;4350
10/10/2022;4290
17/10/2022;4360
24/10/2022;4450
31/10/2022;4210
07/11/2022;4150
14/11/2022;4010
21/11/2022;4030
28/11/2022;4000
05/12/2022;3650
12/12/2022;3680
19/12/2022;3780
26/12/2022;3750
02/01/2023;3710
09/01/2023;3780
16/01/2023;3870
23/01/2023;3960
30/01/2023;3880
06/02/2023;3800
13/02/2023;3760
20/02/2023;4040
27/02/2023;3900
06/03/2023;4010
13/03/2023;4050
20/03/2023;4070
27/03/2023;4060
03/04/2023;4250
10/04/2023;4340
17/04/2023;4270
24/04/2023;4250
01/05/2023;4170
08/05/2023;3980
15/05/2023;4020
22/05/2023;4130
29/05/2023;4040
05/06/2023;4150
12/06/2023;3970
19/06/2023;3950
26/06/2023;4000
03/07/2023;3960
10/07/2023;3930
17/07/2023;3860
24/07/2023;3720
31/07/2023;3690
07/08/2023;3810
14/08/2023;3760
21/08/2023;3720
28/08/2023;3720
01/09/2023;3720
