bulan;jumlah keberangkatan
01/01/2012;5695
01/02/2012;5191
01/03/2012;5731
Apr-12;5932
01/05/2012;4116
01/06/2012;8763
01/07/2012;3787
01/08/2012;7145
01/09/2012;8325
01/10/2012;8794
01/11/2012;7842
01/12/2012;10038
01/01/2013;5176
01/02/2013;2587
01/03/2013;2598
Apr-13;1506
01/05/2013;1384
01/06/2013;2092
01/07/2013;3341
01/08/2013;1554
01/09/2013;722
01/10/2013;169
01/11/2013;176
01/12/2013;1138
01/01/2014;15312
01/02/2014;13766
01/03/2014;15358
Apr-14;15748
01/05/2014;16654
01/06/2014;15188
01/07/2014;17032
01/08/2014;16715
01/09/2014;14731
01/10/2014;15629
01/11/2014;15708
01/12/2014;17711
01/01/2015;15312
01/02/2015;13766
01/03/2015;15358
Apr-15;15748
01/05/2015;16654
01/06/2015;15188
01/07/2015;17032
01/08/2015;16715
01/09/2015;14731
01/10/2015;15629
01/11/2015;15708
01/12/2015;17711
01/01/2016;191486
01/02/2016;185201
01/03/2016;197078
Apr-16;190230
01/05/2016;256988
01/06/2016;223380
01/07/2016;270711
01/08/2016;250068
01/09/2016;240832
01/10/2016;237525
01/11/2016;228385
01/12/2016;296330
01/01/2017;253525
01/02/2017;218345
01/03/2017;263341
Apr-17;250992
01/05/2017;269389
01/06/2017;262751
01/07/2017;294808
01/08/2017;285587
01/09/2017;292887
01/10/2017;299670
01/11/2017;300299
01/12/2017;326214
01/01/2018;297818
01/02/2018;273438
01/03/2018;312724
Apr-18;308764
01/05/2018;272019
01/06/2018;302301
01/07/2018;333443
01/08/2018;316055
01/09/2018;294105
01/10/2018;300242
01/11/2018;263884
01/12/2018;300510
01/01/2019;253091
01/02/2019;225896
01/03/2019;256787
Apr-19;234151
01/05/2019;214197
01/06/2019;256184
01/07/2019;286625
01/08/2019;265644
01/09/2019;253165
01/10/2019;262794
01/11/2019;290152
01/12/2019;303761
01/01/2020;222326
01/02/2020;217603
01/03/2020;185794
Apr-20;32034
01/05/2020;1754
01/06/2020;9976
01/07/2020;36043
01/08/2020;59961
01/09/2020;43742
01/10/2020;56258
01/11/2020;52177
01/12/2020;63764
01/01/2021;1269
01/02/2021;1129
01/03/2021;7675
Apr-21;1679
01/05/2021;1554
01/06/2021;1922
01/07/2021;1080
01/08/2021;1099
01/09/2021;1333
01/10/2021;1496
01/11/2021;1525
01/12/2021;1656
01/01/2022;54015
01/02/2022;0
01/03/2022;0
Apr-22;0
01/05/2022;0
01/06/2022;0
01/07/2022;0
01/08/2022;0
01/09/2022;56013
01/10/2022;119153
01/11/2022;130205
01/12/2022;141126
