Date;Close
2020-08-31;2860
2020-09-07;2810
2020-09-14;2890
2020-09-21;2690
2020-09-28;2680
2020-10-05;2730
2020-10-12;2750
2020-10-19;2630
2020-10-26;2620
2020-11-02;2830
2020-11-09;2990
2020-11-16;3220
2020-11-23;3460
2020-11-30;3250
2020-12-07;3280
2020-12-14;3510
2020-12-21;3320
2020-12-28;3310
2021-01-04;3570
2021-01-11;3480
2021-01-18;3390
2021-01-25;3110
2021-02-01;3290
2021-02-08;3190
2021-02-15;3210
2021-02-22;3490
2021-03-01;3320
2021-03-08;3450
2021-03-15;3440
2021-03-22;3490
2021-03-29;3390
2021-04-05;3360
2021-04-12;3360
2021-04-19;3310
2021-04-26;3200
2021-05-03;3190
2021-05-10;3180
2021-05-17;3270
2021-05-24;3270
2021-05-31;3500
2021-06-07;3470
2021-06-14;3350
2021-06-21;3250
2021-06-28;3070
2021-07-05;3160
2021-07-12;3170
2021-07-19;3170
2021-07-26;3240
2021-08-02;3320
2021-08-09;3300
2021-08-16;3400
2021-08-23;3320
2021-08-30;3390
2021-09-06;3330
2021-09-13;3530
2021-09-20;3560
2021-09-27;3660
2021-10-04;3800
2021-10-11;3810
2021-10-18;3870
2021-10-25;3800
2021-11-01;3770
2021-11-08;3600
2021-11-15;3900
2021-11-22;4010
2021-11-29;4070
2021-12-06;4150
2021-12-13;4100
2021-12-20;4110
2021-12-27;4040
2022-01-03;4170
2022-01-10;4190
2022-01-17;4330
2022-01-24;4260
2022-01-31;4230
2022-02-07;4450
2022-02-14;4400
2022-02-21;4340
2022-02-28;4400
2022-03-07;4590
2022-03-14;4540
2022-03-21;4520
2022-03-28;4580
2022-04-04;4580
2022-04-11;4680
2022-04-18;4620
2022-04-25;4620
2022-05-02;4620
2022-05-09;4260
2022-05-16;4170
2022-05-23;4300
2022-05-30;4310
2022-06-06;4020
2022-06-13;4120
2022-06-20;4150
2022-06-27;4020
2022-07-04;4010
2022-07-11;4150
2022-07-18;4230
2022-07-25;4230
2022-08-01;4650
2022-08-08;4550
2022-08-15;4600
2022-08-22;4490
2022-08-29;4600
2022-09-05;4600
2022-09-12;4410
2022-09-19;4380
2022-09-26;4460
2022-10-03;4350
2022-10-10;4290
2022-10-17;4360
2022-10-24;4450
2022-10-31;4210
2022-11-07;4150
2022-11-14;4010
2022-11-21;4030
2022-11-28;4000
2022-12-05;3650
2022-12-12;3680
2022-12-19;3780
2022-12-26;3750
2023-01-02;3710
2023-01-09;3780
2023-01-16;3870
2023-01-23;3960
2023-01-30;3880
2023-02-06;3800
2023-02-13;3760
2023-02-20;4040
2023-02-27;3900
2023-03-06;4010
2023-03-13;4050
2023-03-20;4070
2023-03-27;4060
2023-04-03;4250
2023-04-10;4340
2023-04-17;4270
2023-04-24;4250
2023-05-01;4170
2023-05-08;3980
2023-05-15;4020
2023-05-22;4130
2023-05-29;4040
2023-06-05;4150
2023-06-12;3970
2023-06-19;3950
2023-06-26;4000
2023-07-03;3960
2023-07-10;3930
2023-07-17;3860
2023-07-24;3720
2023-07-31;3690
2023-08-07;3810
2023-08-14;3760
2023-08-21;3720
2023-08-28;3720
2023-09-01;3720
